Qu'est-ce que la suite de fibonacci;La suite de Fibonacci est une suite d'entiers dans laquelle chaque terme est la somme des deux termes qui le précèdent.
Qui a créé la typographie Bifur, typique de l'Art Déco, en 1929 ?;Cassandre
En quelle année Raymond Savignac a-t-il créé cette affiche pour Monsavon ?;1949
Qui a créé la signalétique du Centre Pompidou, en jouant sur les volumes et l'espace, plutôt que de se contenter de simples panneaux ?;Ruedi Baur
Herbert Bayer, auteur de cette affiche datant de 1926, est rattaché à l'école du :;Bauhaus
Qui est reconnu comme le premier créateur à avoir personnifié les produits à vendre, comme sur cette affiche de 1921 ?;Leonetto Cappiello
Quel peintre est à l'origine de De Stijl, dont la revue remet en question les codes typographiques traditionnels, dès 1917 ?;Piet Mondrian
Qui a révolutionné la mise en page, grâce au magazine Ray Gun, dans les années 1990 ?;David Carson
Trois de ces créateurs ont fait partie du mouvement Psychédélique des années 1960. Quel est l'intrus ?;Johannes Itten
Qui est ce graphiste, célèbre pour avoir mis en page le magazine The Face dans les années 1980, et avoir créé la typographie "Blur" en 1991 ?;Neville Brody
Qui a réalisé l'un des premiers génériques animés avec "l'homme au bras d'or" en 1955 ?;Saul Bass
Le design global prend en compte le logo d'une marque, sa charte graphique, mais aussi les objets ou l'architecture pour former un tout cohérent. Qui est le premier à expérimenter cela dès 1907 ?;Peter Behrens
